in_pjm,dc_group,n_utilities,mean_price_change_cents,median_price_change_cents,mean_price_change_pct,median_price_change_pct,customer_weighted_change_pct,comparison
0,high_dc_10plus,10,0.30182741864413654,0.04641564082934746,2.8758418567651627,0.37026554120929894,2.239846699186313,Q1_2026_vs_Q1_2025
0,some_dc_1to9,23,1.0133252853746075,0.7692550515959056,7.540661392393768,4.540139064351299,3.9839704055043983,Q1_2026_vs_Q1_2025
0,zero_dc,375,1.8048220453240984,1.0534391633444802,9.682711111609308,7.490287873673074,7.278814166541528,Q1_2026_vs_Q1_2025
1,high_dc_10plus,3,2.609612276103123,2.9958963044669975,15.227053241341125,17.394064562940347,14.458619459339301,Q1_2026_vs_Q1_2025
1,some_dc_1to9,12,1.3801688496939952,1.668603274058512,8.387524077720721,11.289127728101793,11.161053871956803,Q1_2026_vs_Q1_2025
1,zero_dc,18,1.8712468184424087,1.5077066076797623,10.677446158966202,9.352430750468601,12.145790443092134,Q1_2026_vs_Q1_2025
0,high_dc_10plus,10,-0.029455554476205847,0.3042965636814472,0.5294892915055766,1.4905241073583622,2.3286041844552976,Q1_2025_vs_Q1_2024
0,some_dc_1to9,23,0.432281049080313,0.6097776962359021,3.361338398443615,4.33929347471224,0.9336015261445879,Q1_2025_vs_Q1_2024
0,zero_dc,377,-0.0407555718626418,0.22488009011378374,0.7397013776468607,1.6624487885308958,3.404525538293737,Q1_2025_vs_Q1_2024
1,high_dc_10plus,3,1.5598998524919612,1.7296759561715955,9.49305722248583,11.7014715556689,9.473454604258539,Q1_2025_vs_Q1_2024
1,some_dc_1to9,12,0.3916845343280417,0.44791224111866157,3.3304606826975767,2.8579577418414797,4.600816171450556,Q1_2025_vs_Q1_2024
1,zero_dc,18,0.3725787292436681,0.3980060025299501,2.1295470280678774,2.1731102645536193,2.820645435135889,Q1_2025_vs_Q1_2024
0,high_dc_10plus,10,0.2723718641679307,0.4028203242598405,3.425527844274697,3.3035914646339615,4.5287660740386455,Q1_2026_vs_Q1_2024
0,some_dc_1to9,23,1.4456063344549206,1.4950983720534268,11.274569808558395,10.436948226909404,5.098733145320703,Q1_2026_vs_Q1_2024
0,zero_dc,362,1.8093955381878242,1.2754782147730346,10.427121513711853,9.629477506969213,11.067901586644664,Q1_2026_vs_Q1_2024
1,high_dc_10plus,3,4.169512128595084,3.526042096206,26.013504616615023,26.20920130584779,25.1405233613778,Q1_2026_vs_Q1_2024
1,some_dc_1to9,12,1.7718533840220367,1.349811405484985,11.981808671513567,10.06121234033453,16.360922551383407,Q1_2026_vs_Q1_2024
1,zero_dc,18,2.2438255476860767,1.6022081239327886,12.879082918733808,11.718638847025991,15.250268151549266,Q1_2026_vs_Q1_2024
