spec,sample,outcome,treatment,coefficient,std_error,p_value,n_obs,r2_adj,percent_effect_approx
1_historical_annual_2010_2024,full_polygon_assigned_utility_state_panel,log_residential_price,cum_dc_count,0.00015460598500319044,0.012442674990653862,0.9900861708302517,9136,0.874978545530471,0.015460598500319044
1_historical_annual_2010_2024,full_polygon_assigned_utility_state_panel,log_residential_price,cum_dc_per_100k_customers,-0.00019223715521907148,0.00019795047622616537,0.33147975011862485,9136,0.8750689897402913,-0.01922371552190715
2_monthly_passthrough,all_utilities_monthly,log_residential_price,log_pjm_capacity_price,0.011580494389791057,0.039194074741840196,0.7676383522518175,358,0.798737519448204,1.1580494389791056
2_monthly_passthrough,all_utilities_monthly,log_residential_price,pjm_capacity_price_mw_day,0.0002622185649894615,0.00018150884294464528,0.14855341067252886,358,0.7999438343935672,0.02622185649894615
2_monthly_passthrough,pjm_utilities_only_monthly,log_residential_price,log_pjm_capacity_price,0.011580494389791057,0.039194074741840196,0.7676383522518175,358,0.798737519448204,1.1580494389791056
2_monthly_passthrough,pjm_utilities_only_monthly,log_residential_price,pjm_capacity_price_mw_day,0.0002622185649894615,0.00018150884294464528,0.14855341067252886,358,0.7999438343935672,0.02622185649894615
2_monthly_passthrough,pjm_state_based_monthly,log_residential_price,log_pjm_capacity_price,-0.027184809569068435,0.045907887446747474,0.5537435257819631,331,0.7854878325718201,-2.7184809569068435
2_monthly_passthrough,pjm_state_based_monthly,log_residential_price,pjm_capacity_price_mw_day,0.00014132530694759655,0.0001429842605025976,0.3229579383873593,331,0.7850177602136927,0.014132530694759655
3_high_dc_heterogeneity_did_pjm,pjm_utilities_only,log_residential_price,high_dc_x_post,0.08052427435957665,0.03659814045457319,0.02779068201097677,1275,0.8070175343928272,8.052427435957664
3_any_dc_heterogeneity_did_pjm,pjm_utilities_only,log_residential_price,any_dc_x_post,0.016883377228049196,0.028829195440739596,0.5581210244622257,1275,0.8041353867777813,1.6883377228049197
3b_triple_did,triple_did_high_dc,log_residential_price,in_pjm_x_post,0.03223901199025033,0.015205554697640962,0.03398810184440178,17457,0.7824433357506743,3.223901199025033
3b_triple_did,triple_did_high_dc,log_residential_price,high_dc_x_post,-0.04329888821409556,0.03523136471315631,0.21907669092341897,17457,0.7824433357506743,-4.329888821409556
3b_triple_did,triple_did_high_dc,log_residential_price,in_pjm_x_high_dc_x_post,0.12409865031150305,0.05006577736552501,0.013185767292801876,17457,0.7824433357506743,12.409865031150305
3b_triple_did,triple_did_any_dc,log_residential_price,in_pjm_x_post,0.032004321430626356,0.019417114356450563,0.09930071809704157,17457,0.7823537388918502,3.2004321430626357
3b_triple_did,triple_did_any_dc,log_residential_price,any_dc_x_post,-0.009338306003318758,0.01608263593230654,0.5614795751556712,17457,0.7823537388918502,-0.9338306003318758
3b_triple_did,triple_did_any_dc,log_residential_price,in_pjm_x_any_dc_x_post,0.026682401697078133,0.032309001233549316,0.40888895800093594,17457,0.7823537388918502,2.668240169707813
4_single_state_triple_did,single_state_service_areas_only,log_residential_price,in_pjm_x_post,0.05716655096517484,0.04815408848765425,0.23516497987277218,1872,0.8962813582993808,5.716655096517484
4_single_state_triple_did,single_state_service_areas_only,log_residential_price,high_dc_x_post,-0.0120890925160484,0.006122050063270981,0.04830442396064744,1872,0.8962813582993808,-1.2089092516048399
4_single_state_triple_did,single_state_service_areas_only,log_residential_price,in_pjm_x_high_dc_x_post,0.0,0.0,,1872,0.8962813582993808,0.0
5_triple_did_with_weather_controls,states_with_hdd_cdd_coverage,log_residential_price,in_pjm_x_post,0.01326344774104728,0.020682365280964288,0.521332598168941,4215,0.543607382331397,1.326344774104728
5_triple_did_with_weather_controls,states_with_hdd_cdd_coverage,log_residential_price,high_dc_x_post,-0.02448417501536626,0.017909869282052692,0.1716010903064451,4215,0.543607382331397,-2.448417501536626
5_triple_did_with_weather_controls,states_with_hdd_cdd_coverage,log_residential_price,in_pjm_x_high_dc_x_post,0.10800237988113379,0.03803862947707861,0.004521523845737007,4215,0.543607382331397,10.800237988113379
5_triple_did_with_weather_controls,states_with_hdd_cdd_coverage,log_residential_price,hdd_k,0.2899534117037048,0.14341201999889192,0.04319486331177437,4215,0.543607382331397,28.99534117037048
5_triple_did_with_weather_controls,states_with_hdd_cdd_coverage,log_residential_price,cdd_k,-0.38637087175735024,0.22720389583308578,0.0890281098664446,4215,0.543607382331397,-38.637087175735026
