pjm_zone,Q1_2025_price,Q1_2026_price,Q1_2025_customers,Q1_2026_customers,Q1_2025,Q1_2026,price_change_cents,price_change_pct,group_kind,state,in_pjm
AE,22.65838265145996,27.97745767803937,472235.0,473475.3333333333,1,1,5.319075026579412,23.47508693978511,by_pjm_zone,,
AEP,16.832461721860607,17.324014719819136,2007315.0,2025121.0,6,6,0.4915529979585287,2.9202680278199615,by_pjm_zone,,
AP,14.249786310300967,14.881546540164758,719039.3333333334,733478.6666666667,3,3,0.6317602298637901,4.43347160516435,by_pjm_zone,,
ATSI,14.935265338627788,16.67405492242762,473001.6666666667,515969.3333333334,3,3,1.7387895837998304,11.642174038265768,by_pjm_zone,,
BGE,19.11805144109103,21.96421847233221,1079985.3333333333,1221488.0,1,1,2.8461670312411798,14.887328031369469,by_pjm_zone,,
COMED,16.511371984254797,17.644503533966155,2961048.6666666665,3067481.6666666665,1,1,1.1331315497113579,6.862734064691349,by_pjm_zone,,
DAY,14.858088925180427,18.92742530558613,131063.33333333333,145665.0,1,1,4.069336380405703,27.38802009395221,by_pjm_zone,,
DEOK,14.40901441202589,15.75440149434816,409061.6666666666,428594.6666666666,2,2,1.3453870823222704,9.337120804039161,by_pjm_zone,,
DLCO,22.061080455545106,25.207678210075517,435632.0,442481.3333333333,1,1,3.1465977545304114,14.263117170852373,by_pjm_zone,,
DOM,13.912932395268095,16.56056099763758,2765301.0,2794103.666666667,4,4,2.647628602369485,19.029982516625793,by_pjm_zone,,
DP&L,18.703706702089484,19.788246177643746,454778.3333333334,468831.3333333334,2,2,1.0845394755542621,5.798526959541676,by_pjm_zone,,
JCPL,16.002078693364783,18.630621312276112,951640.3333333334,946326.3333333334,1,1,2.628542618911329,16.42625729619269,by_pjm_zone,,
METED,17.826267146305415,20.243732344089967,1464978.3333333333,1488345.6666666667,1,1,2.4174651977845514,13.561253053955177,by_pjm_zone,,
PECO,16.451572136746094,18.68026493933111,1214629.0,1244674.3333333333,1,1,2.228692802585016,13.546989819939617,by_pjm_zone,,
PEPCO,18.732912915363784,22.054640213575524,960584.0,1018139.6666666667,3,3,3.3217272982117407,17.73203832857958,by_pjm_zone,,
PPL,17.156473277139266,19.51187352645704,813417.6666666666,832139.3333333334,1,1,2.355400249317775,13.728930248481248,by_pjm_zone,,
PSEG,21.27052570572721,24.970334679858222,1965846.6666666667,1994228.0,1,1,3.699808974131013,17.394064562940347,by_pjm_zone,,
,18.610215280192136,22.996766503419835,290829.6666666667,293591.6666666667,1,1,4.386551223227698,23.570663515625977,by_state,DC,1.0
,16.897828297862265,17.741581465582275,277720.6666666667,280631.0,1,1,0.8437531677200099,4.993263944022633,by_state,DE,1.0
,16.511371984254797,17.644503533966155,2961048.6666666665,3067481.6666666665,1,1,1.1331315497113579,6.862734064691349,by_state,IL,1.0
,16.369114607724384,16.882772381710392,424533.0,427543.3333333333,1,1,0.513657773986008,3.1379691956192866,by_state,IN,1.0
,14.114700370737395,15.055297000845638,271472.3333333334,271989.3333333333,2,2,0.9405966301082422,6.663950387911086,by_state,KY,1.0
,18.73659368694113,21.356501229239708,2173846.333333333,2393414.666666667,5,5,2.619907542298577,13.98283800178993,by_state,MD,1.0
,17.068495327534027,15.620842089596808,113012.0,113306.66666666667,1,1,-1.4476532379372191,-8.481434421474392,by_state,MI,1.0
,12.240111346881577,12.807228387029667,108910.33333333333,109324.66666666667,1,1,0.5671170401480907,4.633267002857581,by_state,NC,1.0
,19.984794295828262,23.630088815487152,3389722.0,3414029.666666667,3,3,3.64529451965889,18.24034045934528,by_state,NJ,1.0
,15.989928767715892,18.03445672959666,1395355.3333333333,1485040.0,6,6,2.0445279618807675,12.786348154400324,by_state,OH,1.0
,17.7321519309939,20.1542625281176,3928657.0,4007640.666666667,4,4,2.422110597123698,13.659428401863106,by_state,PA,1.0
,14.452975262931536,16.639175123379623,3123587.0,3154129.333333333,4,4,2.1861998604480863,15.126296286240605,by_state,VA,1.0
,14.893919603005063,15.018589861505095,820863.0,822420.6666666666,3,3,0.1246702585000321,0.8370547298702894,by_state,WV,1.0
