sample,outcome,treatment,coefficient,std_error,p_value,ci_low,ci_high,n_obs,n_units,n_state_year_fe,r_squared
full_polygon_assigned_panel,log_residential_price,cum_dc_count,0.00015571808718648893,0.00026628533843024856,0.558696292976723,-0.0003662011761367982,0.0006776373505097761,9136,885,308,0.00012942917639913176
full_polygon_assigned_panel,log_avg_monthly_bill,cum_dc_count,-0.000141779507837831,0.0002644466266521604,0.5918641661680564,-0.0006600948960760653,0.0003765358804004033,9136,885,308,9.243461490560101e-05
full_polygon_assigned_panel,log_residential_sales,cum_dc_count,0.0002531079543809675,0.00021755806175294387,0.24466556196199463,-0.00017330584665480248,0.0006795217554167375,9136,885,308,0.00018169266964551678
full_polygon_assigned_panel,log_commercial_price,cum_dc_count,-0.00015140511960660903,0.0004665081100997868,0.7455218164557033,-0.0010657610154021912,0.000762950776188973,9033,855,308,5.094954252060635e-05
full_polygon_assigned_panel,log_industrial_price,cum_dc_count,0.00027484864380901983,0.0006563186422224824,0.675381908722625,-0.0010115358949470455,0.0015612331825650852,7703,643,308,6.223908972635694e-05
full_polygon_assigned_panel,log_residential_price,cum_dc_per_100k_customers,-0.00019223715521922573,0.00018458421390152196,0.29766190778598245,-0.0005540222144662087,0.00016954790402775728,9136,885,308,0.000675223466687469
full_polygon_assigned_panel,log_avg_monthly_bill,cum_dc_per_100k_customers,-0.0002156137889988988,0.00018856059757342363,0.25284261778314965,-0.0005851925602428092,0.00015396498224501154,9136,885,308,0.0007317783703864045
full_polygon_assigned_panel,log_residential_sales,cum_dc_per_100k_customers,0.0004123681703262978,0.00029777815144509286,0.16610850947219924,-0.0001712770065060842,0.0009960133471586799,9136,885,308,0.0016508776508180611
full_polygon_assigned_panel,log_commercial_price,cum_dc_per_100k_customers,-9.401741452574181e-05,0.000137985384630289,0.495645134653382,-0.0003644687684011082,0.0001764339393496246,9033,855,308,6.725467380563899e-05
full_polygon_assigned_panel,log_industrial_price,cum_dc_per_100k_customers,-0.0004447767276859,0.0002665691288558849,0.0952119462426265,-0.0009672522202434344,7.769876487163447e-05,7703,643,308,0.0004087044948081209
single_state_service_areas,log_residential_price,cum_dc_count,0.0007921449238397766,0.0015954975830582221,0.6195503639854552,-0.0023350303389543386,0.003919320186633892,5098,404,297,0.00036004421063950964
single_state_service_areas,log_avg_monthly_bill,cum_dc_count,-0.00027937258371423554,0.0017235908275596253,0.8712369242509583,-0.003657610605731101,0.0030988654383026304,5098,404,297,4.528578079909806e-05
single_state_service_areas,log_residential_sales,cum_dc_count,0.0033500536309146707,0.0018952453779350238,0.07712621791451475,-0.00036462730983797577,0.007064734571667317,5098,404,297,0.007610644443223902
single_state_service_areas,log_commercial_price,cum_dc_count,0.0015280032252934178,0.001244229998851949,0.21942018161617738,-0.0009106875724564022,0.003966694023043238,5098,404,297,0.0006625054609538106
single_state_service_areas,log_industrial_price,cum_dc_count,0.0028053152612272357,0.0026517616816056086,0.2900981846925862,-0.002392137634719757,0.008002768157174229,4428,356,292,0.0005921361266361114
single_state_service_areas,log_residential_price,cum_dc_per_100k_customers,-3.180064457706483e-05,0.0003817885777137694,0.933617881850834,-0.0007801062568960527,0.0007165049677419231,5098,404,297,1.7087953788297305e-05
single_state_service_areas,log_avg_monthly_bill,cum_dc_per_100k_customers,-5.230325998638552e-05,0.00038930043191598104,0.893124300143485,-0.0008153321065417084,0.0007107255865689372,5098,404,297,4.674374228308409e-05
single_state_service_areas,log_residential_sales,cum_dc_per_100k_customers,0.0006756465275150684,0.00043810686647231687,0.12302604364206746,-0.00018304293077067257,0.0015343359858008094,5098,404,297,0.009116511447762932
single_state_service_areas,log_commercial_price,cum_dc_per_100k_customers,0.00029457807060508014,0.00015380949281391257,0.055465237152791676,-6.888535310188462e-06,0.0005960446765203487,5098,404,297,0.0007251258997168497
single_state_service_areas,log_industrial_price,cum_dc_per_100k_customers,-3.3561052525227494e-05,0.000547251202385531,0.9510991113878636,-0.0011061734092008683,0.0010390513041504132,4428,356,292,1.7220891865843413e-06
