state,utility_number,utility_name,year,residential_customers,residential_price_cents_kwh,avg_monthly_bill_dollars,cum_dc_count,cum_dc_per_100k_customers
VA,19876,Virginia Electric & Power Co,2024,2383548.0,14.094331529242282,141.63166282645312,219,9.187983627768352
VA,13640,Northern Virginia Elec Coop,2024,167274.0,11.57033323374964,132.35818676741954,109,65.16254767626768
IA,12341,MidAmerican Energy Co,2024,632436.0,11.012150770235774,87.16095383564503,50,7.905938308382193
IL,4110,Commonwealth Edison Co,2024,2922223.0,15.215906898965391,88.72133760268581,46,1.574144067718309
NJ,15477,Public Service Elec & Gas Co,2024,1966950.0,20.41697221950661,115.46690730996382,42,2.1352855944482574
AZ,12351,City of Mesa - (AZ),2024,15331.0,16.93318176076797,145.7395690648577,41,267.4320005218185
OR,15248,Portland General Electric Co,2024,828857.0,18.189923061143666,141.39662611684926,40,4.825922927597884
OR,19325,Umatilla Electric Coop Assn,2024,12620.0,9.844044822673187,118.16428948758585,38,301.10935023771793
OR,14354,PacifiCorp,2024,547235.0,14.019639996087253,123.74933377190177,32,5.847579193582282
OH,10668,Licking Rural Electric Inc,2024,25820.0,16.8795093573955,177.74367415440227,32,123.93493415956621
TX,8620,"HILCO Electric Cooperative, Inc.",2024,26883.0,14.909921676608755,215.85822514848292,27,100.43521928356209
NV,13407,Nevada Power Co,2024,916385.0,15.331890005223354,146.88802559331867,22,2.4007376812147734
NE,14127,Omaha Public Power District,2024,362918.0,12.357861593590647,109.31900135384119,22,6.061975432466839
OH,4065,City of Columbus - (OH),2024,15510.0,11.32386507735227,62.37373737373738,18,116.05415860735009
TX,16604,City of San Antonio - (TX),2024,865914.0,12.432968896776979,133.09313434513513,17,1.9632434629766928
NV,17166,Sierra Pacific Power Co,2024,330891.0,14.518023521747693,99.679501709022,17,5.137643514027277
NC,5416,"Duke Energy Carolinas, LLC",2024,1919372.0,13.938969956418774,137.16327962132058,16,0.8336059919598703
GA,7140,Georgia Power Co,2024,2452488.0,15.490932375440854,153.24337978412126,12,0.48929903020932214
UT,14354,PacifiCorp,2024,947246.0,12.520635937836492,94.87982354460546,12,1.2668303693021665
TX,1015,Austin Energy,2024,507291.0,12.577562641291703,104.84810493385453,11,2.168380673025936
SC,1613,Berkeley Electric Coop Inc,2024,115117.0,14.934644070292777,170.30861355548413,9,7.818132856137669
TX,1175,"Bandera Electric Coop, Inc",2024,35346.0,12.401152270639164,145.74727927724024,8,22.633395575171168
MN,13781,Northern States Power Co - Minnesota,2024,1230057.0,16.98094504104642,99.81754910544795,8,0.6503763646725315
AZ,16572,Salt River Project,2024,1053407.0,13.457662946542456,162.96732095635085,8,0.7594405581128661
OH,14006,Ohio Power Co,2024,550768.0,19.329142771634945,173.55265738023994,8,1.4525172123289662
